,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,revives,rideDistance,roadKills,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
0,2,2,8,683.222961,byplayer,1,21,4,1161,58.9431763,0,4,0,0,50,0,Suntao1,account.cb79261dd5ce4f43bb0c675f4e92599b,0,4038.13062,0,0,1948,0,3902.78979,0,2,1077,63.6369362
1,1,0,2,125.760376,byplayer,0,0,71,1468,-18.3623123,0,0,0,0,0,0,P-U-S-S-Y,account.94591e67b7704cccb523d278c8cca14c,0,5143.55664,0,0,713,0,970.5566,0,18,1127,0.7026741
2,2,0,3,242.581558,byplayer,0,11,29,1250,12.7234182,0,1,0,0,136,0,aholyly,account.f733637b9a734f3a890f80ea8f6a6ec0,1,3704.22559,0,0,1410,0,2257.04224,0,8,1251,12.9704647
3,4,1,7,778.521545,alive,0,5,3,1254,53.9883423,0,4,0,0,109,0,SwizzAcid,account.0282a0a72eee4f4baefa4959bd447141,1,7022.677,0,0,1948,0,2681.25146,0,1,1265,116.48867
4,3,1,5,623.9786,alive,1,5,2,1516,34.6612968,0,5,0,0,413,0,CharlieCharlie,account.ebf8c1457146444daada0e1be89eb7f2,2,6334.72559,0,0,1948,0,1585.99927,0,1,1413,45.3312645
5,2,0,0,200,byplayer,2,0,19,1357,14.5678911,0,2,0,0,86,0,QvodplyerCaon1ma,account.b44e2a9fce78429eaaa223d4d03e19c0,0,0,0,0,327,0,264.305573,0,10,1357,1.2407999
6,0,0,1,7.877008,byplayer,0,9,43,1305,1.62063968,0,0,0,0,0,0,KIJCXASKJ,account.64f0893751904ddfa8419242ec749b32,0,1974.09973,0,0,1059,0,2808.358,0,5,1355,16.5571461
7,0,0,0,95.76,byplayer,0,0,86,1179,0,0,0,0,0,0,0,ElanYang,account.48cece0a0b8c4f0aa44e848732cad368,0,0,0,0,98,0,7.780019,0,26,1202,0
8,1,0,3,99.0141,byplayer,0,4,33,1421,2.38201118,0,1,0,0,4,0,bilibili50831,account.c01d8dd04acc44e1bc19abde71978c78,0,5215.456,0,0,1206,0,1663.03186,0,13,1347,-1.08415484
9,0,0,4,5.57512426,byplayer,0,0,56,1268,-3.385007,0,0,0,0,0,0,chaonimab1de,account.26c5efbaf67642e1954bb7b8875d2194,0,6312.0293,0,0,1326,0,2178.21851,0,10,1343,3.357338
10,0,0,0,86.3089,byplayer,0,0,76,1139,-6.37279654,0,0,0,0,0,0,LordScatsbury,account.c4c8c47935704699881cc0395474306d,0,0,0,0,616,0,503.6716,0,21,1213,-9.259835
11,0,0,0,0,byplayer,0,0,75,1480,-20.2685356,0,0,0,0,0,0,BbongDa,account.22e6e9554513451496073fdb3f56655f,0,0,0,0,586,0,683.162659,0,20,1624,-23.6680279
12,4,1,7,599.141541,byplayer,2,7,10,1580,11.3709421,0,3,0,0,99,0,Hlongda520,account.387170835f724887b569a1a0b0439c1e,1,2739.93,0,0,1833,0,4765.86,0,5,1495,8.089634
13,1,0,0,180.519989,byplayer,1,0,37,1413,-0.7913255690000001,0,1,0,0,28,0,Zeausky,account.3e217ac5f8964037ba850709564ab14e,0,0,0,0,616,0,642.1894,0,21,1211,-8.723602
14,0,0,0,0,byplayer,0,5,89,1180,-12.1880951,0,0,0,0,0,0,13728281034,account.ca2962791f864ec4aeb81afd82a59e38,0,0,0,0,262,0,479.57547,0,27,1060,-8.45227
15,2,0,5,141.954468,byplayer,0,4,28,1170,21.81615,0,1,0,0,62,0,AIL-77,account.5153e02ccaa9437480fe6ae0de6a80dc,2,2134.86279,0,0,1839,0,3479.62378,0,4,1333,24.5353718
16,1,0,0,130,byplayer,0,0,24,1468,6.222258,0,2,0,0,4,0,Eryue_335,account.806f0422af5547cc81747a30f86c6dc2,1,0,0,0,134,0,90.81397,0,24,1327,-15.4815626
17,0,0,0,0,byplayer,0,0,41,1040,14.9004145,0,0,0,0,0,0,wangwengcheng,account.49361e45df9d48cfbd6524d7df78feca,0,0,0,0,502,0,894.9378,0,2,1033,63.67819
18,3,0,0,354.195,byplayer,2,0,15,1205,27.37204,0,3,0,0,37,0,Dkkssss,account.eca599b43f234387b3d88de7e94ad0b8,0,0,0,0,316,0,295.7334,0,25,1043,-6.896649
19,0,0,0,96.14679,suicide,0,0,81,1253,-12.712369,0,0,0,0,0,0,NapoleonLYH,account.1c6e666a52fc4d208438e17108c7f18d,0,3964.858,0,1,340,1,316.689728,0,23,1286,-16.0012169
20,4,0,4,449.615662,byplayer,0,0,13,1223,30.1257133,0,3,0,0,17,0,EbonyWarrior2K,account.194f679717fe44c99433187f7d685745,0,3898.25415,1,0,828,0,1344.76733,0,16,1240,-1.5595991599999999
21,0,0,0,0,byplayer,0,0,93,1233,0,0,0,0,0,0,0,QAQAQAW,account.e5a1644f90c84d3888b3ae66d9cf2806,0,0,0,0,92,0,17.6888237,0,28,1180,0
22,3,0,4,384.877,byplayer,1,3,11,1382,21.5460587,0,3,0,0,44,0,LaMuZi-Hao,account.c182b8e3b2bf4f8ea4df97a04e181d77,0,4159.31348,0,0,1651,0,4072.39526,0,5,1390,16.8810349
23,0,0,0,55.9108,byplayer,0,6,44,1192,6.0028286,0,0,0,0,0,0,PhlippB,account.1ca9abeb08a84f49896c38f9b263b095,0,62.4691849,0,0,1493,0,4682.27734,0,6,1355,10.9923868
24,1,0,2,65.80698,byplayer,0,0,35,1275,8.674059,0,1,0,0,15,0,mayaorong,account.25bc0a12fb854321b29cc0112e79d300,1,0,0,0,661,0,1305.58875,0,19,1313,-8.5474
25,1,0,2,119.105354,byplayer,0,5,65,1088,0.6371827999999999,0,0,0,0,0,0,Zarkant,account.bd4079ed073f462c8220aaa020cb0b68,0,3483.74146,0,0,1006,0,1220.72339,0,15,1007,9.612783
26,4,1,9,470.078033,byplayer,1,7,9,1055,49.543,0,3,0,0,24,0,wyblh-52,account.c041076a4b5c43ae9722414bb11804a4,0,4295.84668,0,0,1833,0,3826.50317,0,5,1074,35.3614
27,1,1,1,135.704666,byplayer,0,13,32,1350,6.97398567,0,1,0,0,9,0,8884761,account.a6e57ff3dce74e28803514ce232cad45,1,4798.68262,0,0,1217,0,1886.32251,0,13,1385,-3.620305
28,1,1,1,43.35488,byplayer,0,8,66,1265,-7.70417738,0,0,0,0,0,0,CristoFx,account.b7ee919c78804eb3a27ca43c3f81f52f,0,3552.72021,0,0,975,0,1029.68176,0,15,1275,-2.18047023
29,0,0,0,100,suicide,0,0,97,1181,-15.1469259,0,0,0,0,0,0,Yasuo98K,account.c66a4d24d19c4c07b270b46eb9ce9902,0,1068.34473,0,1,154,1,22.4061737,0,29,1168,-15.1497879
30,0,1,0,70,byplayer,0,0,84,1400,-18.67752,0,0,0,0,0,0,AAnita,account.00ffd9b4522b4c5494a02cf655738bee,0,0,0,0,139,0,65.23773,0,24,1337,-16.558773
31,0,0,0,4.995416,byplayer,0,0,52,998,11.9557133,0,0,0,0,0,0,tungl_runa,account.daffe87d3ba64dbc91ff51578352bbf7,0,2900.25073,0,0,1415,0,2246.88,0,9,1065,21.6865959
