,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,playerId,revives,rideDistance,roadKills,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
c1713424-ebb2-4ee0-b5ee-ab4e1c1d25c8,12,6,6,1433.26575,byplayer,4,3,1,1000,126.655571,0,18,0,0,438,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,4349.47168,0,0,1853,0,3864.6,0,2,1500,19.3609142
11c21ba1-f666-436b-8bd6-3fab57b83c5b,0,0,2,106.005547,byplayer,0,2,63,1349,-22.7622738,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,556,0,955.2936,0,30,1526,-0.650796056
67a13fa1-606e-4f9d-9d01-66522dc1e073,1,1,1,237.318726,byplayer,0,1,16,1349,1.49300385,0,2,0,0,12,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,2540.915,0,0,615,0,1601.05286,0,24,1526,-0.1773885
3d517232-d2fb-4563-b964-dd62bb062da3,4,3,5,1427.73914,byplayer,5,8,1,1349,48.46479,0,11,0,0,204,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,3801.09,0,0,1169,0,2026.0376,0,15,1526,1.49027431
96e7f07a-edd2-4703-afcc-92100144071a,21,5,0,1643.16553,byplayer,7,2,1,1000,0,0,21,0,0,337,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,0,0,0,180,0,447.102936,0,1,1500,0
b53a11eb-ae2e-4973-9b05-3477fcddd912,26,8,0,2558.51953,byplayer,6,5,1,1000,0,0,26,0,0,320,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,567,0,812.0379,0,1,1500,0
5f3ac420-c466-4fd0-b9d3-6db7966c9846,0,0,0,64.39309,byplayer,0,0,85,1288,0,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,83,0,24.4511833,0,43,1521,0
0c04e8c7-fa37-462b-b7bb-d2617d17af45,5,0,4,861.956055,byplayer,3,3,1,1279,0,0,13,0,0,494,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,963.6194,0,0,1686,1,4208.36475,0,2,1523,0
31e451e6-c820-487a-a73b-d172c0fef0c6,0,0,0,21.383276,byplayer,0,0,73,1195,-24.2174759,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,137,0,128.090179,0,33,1521,-1.57508063
f3fa3ef4-2b13-484d-b86b-68a59dd40e83,3,3,3,788.7809,byplayer,0,4,2,1195,32.93992,0,7,0,0,137,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,646,0,1288.68188,0,29,1521,-1.02806878
b2665abb-ea63-47b1-ac3a-258bf927631c,3,0,2,492.29306,byplayer,2,4,1,1097,83.7455444,0,7,0,0,43,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,4662.701,0,0,861,0,1084.43457,0,13,1503,2.22700047
52073bb8-4e09-4951-a0ff-d2573e0a44d6,7,4,9,1206.7063,alive,3,6,1,1000,98.77264,0,11,0,0,92,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,5148.6,0,0,1739,0,3516.56543,0,1,1500,17.843
41149ec2-36ac-4d71-9646-aa4d05371028,2,0,2,409.5061,byplayer,3,3,4,1000,44.3286171,0,5,0,0,79,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,0,0,0,543,0,783.075,0,26,1500,-0.139204919
daea9c33-8870-4480-862c-9c7356067bbc,0,0,0,0,byplayer,0,0,76,1000,-14.72858,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,141,0,76.87334,0,36,1500,-1.72726762
ee0ee56f-e5e5-47d7-94bb-44bcefa72f9b,1,1,2,664.2291,byplayer,1,8,2,1000,67.46887,0,6,0,0,38,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,533,0,561.608154,0,18,1500,5.6677413
bc8b820f-05a8-46ee-8421-b3395761ae31,0,0,6,1591.088,byplayer,7,1,1,1310,0,0,17,0,0,388,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,1842.0675,0,0,1631,0,2890.70117,0,6,1494,0
33d38c95-396c-4276-8cae-6c3228446d11,0,3,7,1407.46729,byplayer,5,17,1,1263,0,0,13,0,0,125,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,3433.97339,0,0,1188,1,1187.241,0,16,1496,0
e2fe1a72-f274-4920-be7b-6468293ab09b,0,0,2,769.216,byplayer,0,7,2,1263,31.7317543,0,8,0,0,46,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,454,0,630.054932,0,42,1496,0.006310304
e5e2ad97-0b74-41b4-862b-224b42cc6766,0,0,1,143.85,byplayer,0,0,12,1263,9.080229,0,3,0,0,29,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,322,0,712.3521,0,58,1496,-1.28975058
0b356ab2-b598-4b0d-8861-0822a99e981e,0,0,0,0,byplayer,0,0,81,1263,0,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,94,0,7.843758,0,81,1496,0
4c3f7dfa-9a37-4c1e-8bfb-428e374f80ce,0,0,1,526.437744,byplayer,1,5,2,1179,37.59952,0,5,0,0,59,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,228,0,217.633392,0,58,1491,-1.56871831
6932e6e7-f83f-4acf-b552-df394595cd60,0,0,0,361.2684,byplayer,2,0,3,1000,39.00186,0,4,0,0,41,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,495,0,576.5203,0,42,1500,0.8849285
838d5281-e233-4dfd-8a76-70b6745a136a,0,0,0,124,byplayer,0,0,41,1000,-3.742766,0,1,0,0,2,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,111,0,13.004137,0,91,1500,-2.57455945
ed701a4a-a855-4722-912e-489513f155b0,0,0,0,300,byplayer,2,0,11,1000,19.92613,0,3,0,0,17,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,108,0,45.6545525,0,83,1500,-2.8615067
4ba676b8-2303-4226-9c5a-5849fc80f079,0,0,0,510.203247,byplayer,1,0,7,1000,29.8911514,0,4,0,0,24,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,303,0,190.767166,0,53,1500,-0.812782466
5c92f0df-cb52-4b41-af3d-4ddacd017a75,0,1,0,346.324768,byplayer,1,0,10,1000,25.2802315,0,3,0,0,16,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,120,0,74.16452,0,64,1500,-2.78504443
21ed9a56-ac02-4af9-aba7-16d48ae8210b,0,1,3,802.1716,byplayer,3,7,2,1000,69.25978,0,7,0,0,84,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,442,0,372.4168,0,51,1500,-0.437048972
158bd23a-8d0b-4380-a7c4-ebd4d4ee4f25,0,0,0,119.8,byplayer,0,0,35,1850,-10.104208,0,1,0,0,6,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,127,0,67.62955,0,41,1342,-23.8959885
8c064c55-841d-469c-92d6-f248df21b283,6,1,5,1044.72021,alive,8,4,1,1871,13.9463835,0,11,0,0,130,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,8986.69,0,0,1759,0,3751.55713,0,1,1379,81.70584
759decee-089b-4304-a7e4-859d7558ade4,2,2,0,390.9857,byplayer,2,0,8,1871,-0.144788876,0,3,0,0,39,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,242,0,385.897583,0,27,1379,-13.007185
6e421b1e-e76d-458b-9c60-8a76629452df,0,0,0,0,byplayer,0,0,80,1862,-20.8443146,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,183,0,1.53463745,0,40,1318,-23.5162334
48a521fc-35c9-4727-be00-c762cf387d43,5,5,8,767.112244,alive,0,3,2,1864,8.71203,0,6,0,0,299,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,7227.71875,0,0,1702,0,2040.34143,0,1,1324,61.1968727
cf53dbd1-6891-4fec-8462-8096181b8fc6,2,0,3,269.96,byplayer,0,0,20,1864,-3.08813,0,2,0,0,2,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,233,0,263.547363,0,37,1324,-12.1000519
cd355bba-7c62-4b2e-ae73-258fe69bcaaf,2,0,3,324.286346,byplayer,3,5,7,1854,1.00937986,0,4,0,0,51,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,3424.90381,0,0,813,0,1047.40112,0,14,1315,5.216075
c6f3b42c-9eba-4427-aec0-c3ed9468951f,6,2,4,991.6925,byplayer,2,6,2,1885,9.050574,0,7,0,0,175,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,1811.739,0,0,1340,1,2790.25146,0,10,1376,15.794323
e6774529-4027-4841-8e21-e35d76ae7975,1,0,0,335,byplayer,1,1,9,1885,1.01620734,0,3,0,0,30,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,0,0,0,293,0,211.151,0,26,1376,-6.67826557
241e96a2-5f23-4e8f-b57a-e4b943cb5ccd,0,0,0,193.536713,byplayer,1,0,21,1885,-3.68584561,0,2,0,0,16,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,275,0,503.569366,0,37,1376,-13.9169226
f1abe414-e96c-49ea-89a8-aabfc26aa05d,0,0,0,0,byplayer,0,0,84,1885,-22.28235,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,178,0,0,0,45,1376,-25.5105247
62469443-4155-4f12-9097-bb3e35a443e8,1,0,0,219.8,byplayer,1,0,19,1869,-5.23290443,0,2,0,0,16,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,175,0,186.677643,0,35,1316,-21.66808
57a6bb52-d27d-415a-a09c-bdc0230d0fb5,6,1,11,1265.69617,alive,2,4,1,1872,0,0,12,0,0,243,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,5005.066,0,0,1879,0,3288.77881,0,1,1357,0
faa2582a-2747-4945-a421-0f9df5667e49,2,0,0,200,byplayer,2,0,17,1866,-4.94730043,0,2,0,0,37,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,154,0,116.827782,0,42,1346,-26.3363152
a514c504-d1c0-4441-8789-b0bbf21f03f0,2,0,2,448.82254,byplayer,0,4,5,1866,2.16595268,0,5,0,0,83,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,479,0,548.15,0,29,1346,-14.6711283
799ab978-eed4-4529-ac20-d19ac35841fb,5,2,4,810.4725,byplayer,3,5,2,1864,5.74231052,0,8,0,0,355,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,909.3083,0,0,1040,0,2134.58984,0,10,1347,10.2274513
9c7f9160-201a-4e72-8486-50d0e4831468,1,0,0,200,byplayer,0,0,20,1864,0,0,2,0,0,7,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,90,0,10.0400448,0,41,1347,0
e081015d-b7b4-43bd-9fb8-73daf3914fb6,4,4,1,747.5046,byplayer,3,5,4,1864,2.6020453,0,5,0,0,112,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,0,0,0,740,0,1391.00208,0,20,1347,-0.864898
d9b080d9-567d-461e-a030-b4c3a2ad8d08,1,0,0,200,byplayer,1,0,17,1864,0,0,2,0,0,18,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,94,0,17.6183758,0,32,1347,0
fbf59791-766d-480c-8287-f17ea9ecef93,0,1,0,35.625,byplayer,0,0,62,1862,0,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,100,0,23.8452415,0,27,1340,0
f640dd30-e636-494d-83a0-436a1f768ac7,5,0,3,708.2764,byplayer,2,5,5,1862,4.258586,0,4,0,0,156,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,90.90897,0,0,856,0,2096.31445,0,19,1340,6.505013
fd0b72f3-b2af-4c6e-8d66-36d57f227de8,0,3,2,445.113281,byplayer,2,1,18,1861,-2.64565563,0,2,0,0,30,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,1206.93945,0,0,894,0,1332.7489,0,18,1294,0.396316081
4eea244a-4edc-4d92-a7c1-4b150229b8d2,0,2,3,253.757538,byplayer,0,2,9,1884,1.31808579,0,2,0,0,46,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,3480.39,0,0,1140,0,1490.97839,0,2,1336,45.89773
c2497b7d-3bb6-4dfc-a097-9cbf61820f11,1,0,1,50,byplayer,0,2,37,1884,-10.4439945,0,1,0,0,13,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,0,0,0,424,0,428.264465,0,31,1336,-9.172226
aa393a31-6d5c-4bd3-92fb-142ce7a1ddc2,0,0,0,0,byplayer,0,0,88,1884,-21.7574978,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,193,0,0,0,49,1336,-25.3864
73dcad4a-7eb2-47ac-a38e-663d59fb318e,5,1,2,863.262268,suicide,2,4,1,1874,9.195605,0,8,0,0,23,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,1,1423.068,0,2,681,1,856.2098,0,23,1309,-7.358137
ea20ca09-5533-4e35-92a1-e2a8aeeca789,5,2,11,1051.2207,byplayer,4,7,1,1901,9.29583549,0,10,0,0,316,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,998.246033,0,0,1952,0,4087.64941,0,3,1346,27.17191
193ef806-a4e0-4b56-a98f-31104bb51a88,0,0,1,272.946655,byplayer,0,0,18,1901,-4.80767,0,2,0,0,24,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,394,0,726.298767,0,29,1346,-11.9538851
8b28261d-55e9-420f-a9f1-403a090fd8ff,1,0,0,100,byplayer,0,0,80,1901,-21.6358356,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,102,0,51.8800163,0,45,1346,-25.0013657
98ecd727-a6d3-4b1f-a910-c7b9e637013e,0,0,7,1005.56879,byplayer,1,3,1,1876,18.2889233,0,7,0,0,77,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,1626,0,4225.561,0,6,1281,41.76366
a628458a-f500-4e43-877f-3b55ba25b7bc,0,0,0,0,byplayer,0,0,89,1870,0,0,0,0,0,0,0,shroud,account.d50fdc18fcad49c691d38466bed6f8fd,0,0,0,0,92,0,19.8680515,0,89,1298,0
